feature,family,research_status,horizon_sessions,direction,development_mean_spearman_ic,development_hac_t,development_fdr_q,validation_mean_spearman_ic,validation_aligned_ic,validation_aligned_hac_t,development_coverage,validation_coverage,validation_top_bottom_return_spread_mean,validation_top_bottom_return_spread_median,validation_winner_top_decile_lift,validation_rich_dates
delta_operating_margin_252s,FUNDAMENTAL_CHANGE,DISCOVERY_ONLY,120,-1,-0.06702252129839195,-2.2314309376475423,0.07893106908955574,0.05041473981035077,-0.05041473981035077,-2.4163599114228127,0.2105390513743053,0.5892811908179636,-0.05937546697119738,-0.0609781611545893,1.3084955412384778,381.0
fund_ocf_age_days,BALANCE_SHEET_OR_FRESHNESS,NO_EVIDENCE,252,-1,-0.019778411214637477,-1.3234336113719967,0.28567880061596307,-0.10881235514243516,0.10881235514243516,6.371712654888005,0.5450426478476247,0.7171531862083851,,,,
fund_debt_assets,BALANCE_SHEET_OR_FRESHNESS,NO_EVIDENCE,252,-1,-0.003052945243639201,-0.1203357357100079,0.9156629840799695,-0.1055784930679843,0.1055784930679843,3.4937890273759242,0.4344190742629968,0.64184607636828,,,,
value_book_to_market_snapshot,VALUATION,NO_EVIDENCE,252,1,0.008305584294104601,0.25341346048148977,0.8311155606243371,0.08261709275306692,0.08261709275306692,3.1297556499632644,0.5256802095055795,0.6631773952768935,,,,
fund_net_income_age_days,BALANCE_SHEET_OR_FRESHNESS,NO_EVIDENCE,60,-1,-0.005491555766838415,-0.41092531352994394,0.8256088488632255,-0.03566300634119695,0.03566300634119695,2.778533940117961,0.5662592849590911,0.7411964272625418,,,,
mom_accel_20_60,MARKET_TREND_RISK,NO_EVIDENCE,60,-1,-0.0127510081381254,-1.3499645060693743,0.4291572567684059,-0.03270112854534423,0.03270112854534423,2.1677069179971857,0.9875485388571793,0.9937592276520665,,,,
mom_accel_120_252,MARKET_TREND_RISK,NO_EVIDENCE,10,-1,-0.01226872251157945,-1.2932132157567608,0.3771533942530055,-0.025463999877101625,0.025463999877101625,1.9560410169662017,0.9517749446956034,0.9787705598309944,,,,
delta_cash_assets_126s,FUNDAMENTAL_CHANGE,NO_EVIDENCE,120,1,0.000356644288549672,0.034182649944257223,0.985044558779226,0.04158444851178303,0.04158444851178303,1.5701846721118213,0.5502060763771812,0.7347438510995042,,,,
fund_revenue_age_days,BALANCE_SHEET_OR_FRESHNESS,NO_EVIDENCE,252,-1,-0.001267347285616492,-0.045768965256761183,0.9634943950149288,-0.02430999235767827,0.02430999235767827,0.804891388031342,0.3048411354529296,0.6866130685803702,,,,
value_earnings_yield_reported,VALUATION,NO_EVIDENCE,252,-1,-0.011596741752531784,-0.6645649145191339,0.6277935525073058,-0.020986272290852096,0.020986272290852096,0.6722679216024081,0.529092037315552,0.6672961743916257,-3.319335463949638e-05,-0.00019254119168918933,1.2389457170068316,500.0
liq_amihud_20d,LIQUIDITY,NO_EVIDENCE,1,-1,,,,,,,0.0036479355701054036,0.01853035735794165,,,,
liq_amihud_60d,LIQUIDITY,NO_EVIDENCE,1,-1,,,,,,,0.0034066251034524362,0.01853035735794165,,,,
liq_dollar_volume_trend_20_60,LIQUIDITY,NO_EVIDENCE,1,-1,,,,,,,0.0034141660555353417,0.01853035735794165,,,,
liq_log_dollar_volume_20d,LIQUIDITY,NO_EVIDENCE,1,-1,,,,,,,0.003655476522188309,0.01853035735794165,,,,
liq_log_dollar_volume_60d,LIQUIDITY,NO_EVIDENCE,1,-1,,,,,,,0.0034141660555353417,0.01853035735794165,,,,
