ticker,terminal_price_date,consensus_delisting_date,evidence_count,evidence_sources,classification,lifecycle_name,av_delisted_name,historical_name_identity_match,max_allowed_gap_calendar_days,overlay_validated,validation_failures,target_only,feature_allowed,repair_semantics,resolution_type,effective_start_date,effective_end_date,security_type,evidence_source,evidence_note,evidence_url,research_eligible
PFH,2020-12-08,2020-12-04,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Prudential Financial Inc,Prudential Financial Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
PLAG,2020-10-06,2020-10-02,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Planet Green Holdings Corp,Planet Green Holdings Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
POWR,2016-05-20,2016-05-17,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,PowerSecure International Inc,PowerSecure International Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
PRSS,2018-11-13,2018-11-09,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,CafePress Inc,CafePress Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
PTN,2025-11-14,2025-11-11,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Palatin Technologies Inc,Palatin Technologies Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
PULS,2019-07-05,2019-07-02,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Pulse Electronics Inc,Pulse Electronics Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
QTNA,2019-06-21,2019-06-18,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Quantenna Communications Inc,Quantenna Communications Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
RGP,2015-05-12,2015-05-08,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Regency Energy Partners LP,Regency Energy Partners LP,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
RLJE,2018-11-02,2018-10-31,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,RLJ Entertainment Inc,RLJ Entertainment Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
RMGN,2018-10-02,2018-09-28,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,RMG NETWORKS HOLDING CORPORATION,RMG NETWORKS HOLDING CORPORATION,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
RSYS,2018-12-14,2018-12-11,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,RadiSys Corp,RadiSys Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
RTCJF,2025-08-19,2025-08-15,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Baijiayun Group Ltd,Baijiayun Group Ltd,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
RUM,2022-12-30,2022-12-27,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,CRUZAN INTERNATIONAL INC.,CRUZAN INTERNATIONAL INC.,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
SAFE,2023-04-10,2023-04-06,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Safehold Inc,Safehold Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
SATCQ,2016-08-05,2016-08-01,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,SatCon Technology Corp,SatCon Technology Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
SDRL,2023-10-20,2023-10-18,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Seadrill Ltd,Seadrill Ltd,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
