path,suffix,blocked_by_contamination_boundary,relevant_columns,all_columns,size_bytes
data/cache/delisted_prices_yahoo/IVTY__2015-06-15__2018-10-23.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",16206
data/cache/delisted_prices_yahoo/JMBA__2005-07-28__2018-09-13.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",50996
data/cache/delisted_prices_yahoo/JNP__1991-08-07__2018-08-13.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",91749
data/cache/delisted_prices_yahoo/JOYY__2019-12-30__2022-06-10.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",16639
data/cache/delisted_prices_yahoo/JTPY__2012-05-11__2018-12-06.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",24059
data/cache/delisted_prices_yahoo/JUNO__2014-12-19__2018-03-06.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",20155
data/cache/delisted_prices_yahoo/KANG__2014-04-09__2019-01-18.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",22660
data/cache/delisted_prices_yahoo/KERX__2000-07-28__2018-12-12.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",72297
data/cache/delisted_prices_yahoo/KLXI__2014-12-03__2018-10-09.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",22709
data/cache/delisted_prices_yahoo/KMG__1997-01-28__2018-12-14.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",94487
data/cache/delisted_prices_yahoo/KNTK__2022-11-11__2023-03-22.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",5317
data/cache/delisted_prices_yahoo/KS__2005-09-14__2018-12-14.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",15924
data/cache/delisted_prices_yahoo/LAB__2011-02-10__2022-04-05.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",50887
data/cache/delisted_prices_yahoo/LAYN__1992-08-20__2018-06-15.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",102476
