ticker,classification,repair_priority,reason,return_price_last_date,calendar_days_before_sample_end,lifecycle_status,lifecycle_delisting_date,av_active_status,av_delisted_status,av_delisted_delisting_date,cache_filename_delisting_date,cache_has_parquet,target_price_source,unresolved_total_across_horizons
PERY,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 1 calendar days of terminal price,2018-10-23,2873,Delisted,2018-10-22,,Delisted,2018-10-22,2018-10-22,True,PHASE2_EXISTING_ADJ_CLOSE,508
RGP,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2015-05-12,4133,Delisted,2015-05-08,Active,Delisted,2015-05-08,2015-05-08,True,PHASE2_EXISTING_ADJ_CLOSE,508
SAFE,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2023-04-10,1243,Delisted,2023-04-06,Active,Delisted,2023-04-06,2023-04-06,True,PHASE2_EXISTING_ADJ_CLOSE,508
SEP,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2018-12-17,2818,Delisted,2018-12-14,,Delisted,2018-12-14,2018-12-14,True,PHASE2_EXISTING_ADJ_CLOSE,508
SGI,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2016-11-04,3591,Delisted,2016-11-02,Active,Delisted,2016-11-02,2016-11-02,True,PHASE2_EXISTING_ADJ_CLOSE,508
STDY,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 1 calendar days of terminal price,2018-08-31,2926,Delisted,2018-08-30,,Delisted,2018-08-30,2018-08-30,True,PHASE2_EXISTING_ADJ_CLOSE,508
STRR,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2025-08-25,375,Delisted,2025-08-21,Active,Delisted,2025-08-21,2025-08-21,True,PHASE2_EXISTING_ADJ_CLOSE,508
SUNE,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2016-04-25,3784,Delisted,2016-04-21,Active,Delisted,2016-04-21,2016-04-21,True,PHASE2_EXISTING_ADJ_CLOSE,508
TC,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2020-05-01,2317,Delisted,2020-04-29,Active,Delisted,2020-04-29,2020-04-29,True,PHASE2_EXISTING_ADJ_CLOSE,508
TEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2024-10-01,703,Delisted,2024-09-27,Active,Delisted,2024-09-27,2024-09-27,True,PHASE2_EXISTING_ADJ_CLOSE,508
TSRO,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2019-01-22,2782,Delisted,2019-01-18,,Delisted,2019-01-18,2019-01-18,True,PHASE2_EXISTING_ADJ_CLOSE,508
TW,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 1 calendar days of terminal price,2020-04-09,2339,Delisted,2020-04-08,Active,Delisted,2020-04-08,2020-04-08,True,PHASE2_EXISTING_ADJ_CLOSE,508
