ticker,unresolved_1d,unresolved_5d,unresolved_10d,unresolved_20d,unresolved_40d,unresolved_60d,unresolved_120d,unresolved_252d,unresolved_total_across_horizons,first_unresolved_signal,last_unresolved_signal,return_price_first_date,return_price_last_date,return_price_rows,target_price_source,panel_first_date,panel_last_date,panel_rows,panel_delisting_date,panel_source_state,lifecycle_status,lifecycle_delisting_date,lifecycle_name,av_active_status,av_active_delisting_date,av_active_name,av_delisted_status,av_delisted_delisting_date,av_delisted_name,cache_filename_delisting_date,cache_has_parquet,cache_files,calendar_days_before_sample_end,classification,reason,repair_priority
VS,1,5,10,20,40,60,120,252,508,2020-01-16,2021-01-14,2016-01-29,2021-01-15,1251,PHASE2_EXISTING_ADJ_CLOSE,2016-01-29,2021-01-15,1251,2021-01-14,delisted,Delisted,2021-01-14,Versus Systems Inc,Active,,Versus Systems Inc,Delisted,2021-01-14,Versus Systems Inc,2021-01-14,True,VS__2016-02-03__2021-01-14.parquet,2058,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 1 calendar days of terminal price,2
WES,1,5,10,20,40,60,120,252,508,2018-03-01,2019-03-01,2013-12-23,2019-03-04,1306,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2019-03-04,1306,2019-02-28,active | delisted,Delisted,2019-02-28,Western Gas Partners LP,Active,,Western Midstream Partners LP,Delisted,2019-02-28,Western Gas Partners LP,2019-02-28,True,WES__2008-05-09__2019-02-28.parquet,2741,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
BETR,1,4,9,19,39,59,119,251,501,2022-08-31,2023-08-31,2021-04-30,2023-09-01,590,PHASE2_EXISTING_ADJ_CLOSE,2021-04-30,2023-09-01,590,2023-08-29,active | delisted,Delisted,2023-08-29,Amplify Snack Brands Inc,Active,,Better Home & Finance Holding Company,Delisted,2023-08-29,Amplify Snack Brands Inc,2023-08-29,True,BETR__2015-08-05__2023-08-29.parquet,1099,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 3 calendar days of terminal price,2
P,1,4,9,19,39,59,119,251,501,2018-02-28,2019-02-28,2015-10-06,2019-03-01,856,PHASE2_EXISTING_ADJ_CLOSE,2015-10-06,2019-03-01,856,2019-02-26,active | delisted,Delisted,2019-02-26,Pandora Media Inc,Active,,Everpure Inc - Class A,Delisted,2019-02-26,Pandora Media Inc,2019-02-26,True,P__2011-06-15__2019-02-26.parquet,2744,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 3 calendar days of terminal price,2
ABAX,0,4,9,19,39,59,119,251,500,2017-08-03,2018-08-01,2013-12-23,2018-08-03,1162,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2018-08-03,1162,2018-08-01,delisted,Delisted,2018-08-01,Abaxis Inc,,,,Delisted,2018-08-01,Abaxis Inc,2018-08-01,True,ABAX__1992-01-23__2018-08-01.parquet,2954,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 2 calendar days of terminal price,2
ADT,0,4,9,19,39,59,119,251,500,2019-05-06,2020-05-01,2018-01-19,2020-05-05,577,PHASE2_EXISTING_ADJ_CLOSE,2018-01-19,2020-05-05,577,2020-05-01,delisted,Delisted,2020-05-01,ADT Corp,Active,,ADT Inc,Delisted,2020-05-01,ADT Corp,2020-05-01,True,ADT__2012-09-28__2020-05-01.parquet,2313,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
AFSI,0,4,9,19,39,59,119,251,500,2017-12-01,2018-11-29,2013-12-23,2018-12-03,1245,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2018-12-03,1245,2018-11-29,delisted,Delisted,2018-11-29,Amtrust Financial Services Inc,,,,Delisted,2018-11-29,Amtrust Financial Services Inc,2018-11-29,True,AFSI__2006-11-13__2018-11-29.parquet,2832,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
AHGP,0,4,9,19,39,59,119,251,500,2017-06-05,2018-06-01,2013-12-23,2018-06-05,1120,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2018-06-05,1120,2018-06-01,delisted,Delisted,2018-06-01,Alliance Holdings GP L.P.,,,,Delisted,2018-06-01,Alliance Holdings GP L.P.,2018-06-01,True,AHGP__2006-05-10__2018-06-01.parquet,3013,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
AMTD,0,4,9,19,39,59,119,251,500,2019-10-10,2020-10-07,2019-08-05,2020-10-09,300,PHASE2_EXISTING_ADJ_CLOSE,2019-08-05,2020-10-09,300,2020-10-07,delisted,Delisted,2020-10-07,TD Ameritrade Holding Corp,Active,,AMTD IDEA Group,Delisted,2020-10-07,TD Ameritrade Holding Corp,2020-10-07,True,AMTD__1997-03-04__2020-10-07.parquet,2156,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 2 calendar days of terminal price,2
BGC,0,4,9,19,39,59,119,251,500,2017-06-08,2018-06-06,2013-12-23,2018-06-08,1123,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2018-06-08,1123,2018-06-06,delisted,Delisted,2018-06-06,General Cable Corp,Active,,BGC Group Inc - Class A,Delisted,2018-06-06,General Cable Corp,2018-06-06,True,BGC__1997-05-16__2018-06-06.parquet,3010,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 2 calendar days of terminal price,2
