ensemble,top_n,policy,hold_floor,score_edge,fold,cost_bps,days,total_return,cagr,max_drawdown,annual_turnover,trade_days,execution_skips,positive_month_share,total_cost_fraction_sum,execution_skip_rate,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown
H20,5,EVENT_LOOSE,0.7,0.03,WF_2019_2020,40.0,505,1.541173622071264,0.5926345951103,-0.387889644495621,3.875966401581771,36,0,0.6666666666666666,0.031069254488869755,0.0,,,
H20,5,EVENT_LOOSE,0.7,0.03,WF_2021_2022,20.0,503,-0.03175881740857289,-0.016039096724369317,-0.3427541847905823,3.8020381330173945,36,0,0.5416666666666666,0.015177977626251981,0.0,,,
H20,5,EVENT_LOOSE,0.7,0.03,WF_2021_2022,40.0,503,-0.04635402679631495,-0.02349808397742159,-0.34615608051695834,3.8020381330173945,36,0,0.5416666666666666,0.030355955252503963,0.0,,,
H20,5,EVENT_BALANCED,0.8,0.05,WF_2019_2020,20.0,505,1.7851884368180233,0.6671966986826483,-0.37499456334052916,1.586987370838059,14,0,0.6666666666666666,0.006360544621216031,0.0,,,
H20,5,EVENT_BALANCED,0.8,0.05,WF_2019_2020,40.0,505,1.767515646801261,0.6619093435581209,-0.3752213480129186,1.586987370838059,14,0,0.6666666666666666,0.012721089242432062,0.0,,,
H20,5,EVENT_BALANCED,0.8,0.05,WF_2021_2022,20.0,503,0.03619447490293659,0.017972357921386184,-0.2942234949034481,1.7813827323264182,17,0,0.5,0.007111392971112606,0.0,,,
H20,5,EVENT_BALANCED,0.8,0.05,WF_2021_2022,40.0,503,0.028846444977605357,0.014349355366719552,-0.294806602374562,1.7813827323264182,17,0,0.5,0.014222785942225213,0.0,,,
H20,5,EVENT_STRICT,0.85,0.1,WF_2019_2020,20.0,505,1.854276502997835,0.6877069350676408,-0.34924196173962285,0.33466446179397563,2,0,0.7083333333333334,0.0013413139143329976,0.0,,,
H20,5,EVENT_STRICT,0.85,0.1,WF_2019_2020,40.0,505,1.8504458079647854,0.6865762704247445,-0.34924196173962296,0.33466446179397563,2,0,0.7083333333333334,0.002682627828665995,0.0,,,
H20,5,EVENT_STRICT,0.85,0.1,WF_2021_2022,20.0,503,0.013221961154025408,0.006602414422548719,-0.313832298342165,1.0979829904587013,10,0,0.5,0.004383217811116879,0.0,,,
H20,5,EVENT_STRICT,0.85,0.1,WF_2021_2022,40.0,503,0.008787038359491461,0.004392644487672959,-0.3146509807713389,1.0979829904587013,10,0,0.5,0.008766435622233759,0.0,,,
H20,10,MONTHLY,,,WF_2019_2020,20.0,505,2.4778164339514466,0.8625904869253664,-0.32662623194619167,4.740534891332357,24,0,0.7083333333333334,0.018999762858117778,0.0,,,
H20,10,MONTHLY,,,WF_2019_2020,40.0,505,2.412279025330065,0.8449920597846738,-0.327318212692444,4.740534891332357,24,0,0.7083333333333334,0.037999525716235556,0.0,,,
H20,10,MONTHLY,,,WF_2021_2022,20.0,503,0.18109723741088923,0.08696280060583472,-0.24845348632120867,4.3691120689943395,24,0,0.5416666666666666,0.01744177278336629,0.0,,,
H20,10,MONTHLY,,,WF_2021_2022,40.0,503,0.1606504733191061,0.07749445030849533,-0.25113032667057966,4.3691120689943395,24,0,0.5,0.03488354556673258,0.0,,,
H20,10,WEEKLY,,,WF_2019_2020,20.0,505,2.3459366468533425,0.8270041436750979,-0.34456842900830864,9.534154563747377,105,0,0.75,0.03821228614835258,0.0,,,
H20,10,WEEKLY,,,WF_2019_2020,40.0,505,2.2203984990448333,0.7924701288470486,-0.34569707172110975,9.534154563747377,105,0,0.75,0.07642457229670516,0.0,,,
H20,10,WEEKLY,,,WF_2021_2022,20.0,503,0.22642994579198383,0.10766768835538887,-0.3011547446480879,9.61437357134125,104,0,0.5833333333333334,0.0383811897332115,0.0,,,
H20,10,WEEKLY,,,WF_2021_2022,40.0,503,0.1802139015172488,0.08655544985204489,-0.30935667974039305,9.61437357134125,104,0,0.5833333333333334,0.076762379466423,0.0,,,
