signal_date,ticker,requested_entry_date,entry_date,target_status_1d,target_end_date_1d,horizon_sessions,target_status_5d,target_end_date_5d,target_status_10d,target_end_date_10d,target_status_20d,target_end_date_20d,target_status_40d,target_end_date_40d,target_status_60d,target_end_date_60d,target_status_120d,target_end_date_120d,target_status_252d,target_end_date_252d
2018-02-05,ABAX,2018-02-06,2018-02-06,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-06,ABAX,2018-02-07,2018-02-07,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-07,ABAX,2018-02-08,2018-02-08,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-08,ABAX,2018-02-09,2018-02-09,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-09,ABAX,2018-02-12,2018-02-12,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-12,ABAX,2018-02-13,2018-02-13,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-12,ABAX,2018-02-13,2018-02-13,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-13,ABAX,2018-02-14,2018-02-14,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-13,ABAX,2018-02-14,2018-02-14,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-14,ABAX,2018-02-15,2018-02-15,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-14,ABAX,2018-02-15,2018-02-15,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-15,ABAX,2018-02-16,2018-02-16,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-15,ABAX,2018-02-16,2018-02-16,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-16,ABAX,2018-02-20,2018-02-20,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-16,ABAX,2018-02-20,2018-02-20,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-20,ABAX,2018-02-21,2018-02-21,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-20,ABAX,2018-02-21,2018-02-21,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-21,ABAX,2018-02-22,2018-02-22,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-21,ABAX,2018-02-22,2018-02-22,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-22,ABAX,2018-02-23,2018-02-23,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-22,ABAX,2018-02-23,2018-02-23,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-23,ABAX,2018-02-26,2018-02-26,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-23,ABAX,2018-02-26,2018-02-26,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-26,ABAX,2018-02-27,2018-02-27,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-26,ABAX,2018-02-27,2018-02-27,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-27,ABAX,2018-02-28,2018-02-28,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-27,ABAX,2018-02-28,2018-02-28,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-28,ABAX,2018-03-01,2018-03-01,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-02-28,ABAX,2018-03-01,2018-03-01,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-01,ABAX,2018-03-02,2018-03-02,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-01,ABAX,2018-03-02,2018-03-02,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-02,ABAX,2018-03-05,2018-03-05,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-02,ABAX,2018-03-05,2018-03-05,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-05,ABAX,2018-03-06,2018-03-06,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-05,ABAX,2018-03-06,2018-03-06,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-06,ABAX,2018-03-07,2018-03-07,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-06,ABAX,2018-03-07,2018-03-07,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-07,ABAX,2018-03-08,2018-03-08,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-07,ABAX,2018-03-08,2018-03-08,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
