ticker,first_date,last_date,rows,covered_rows,coverage
MS,2014-01-02,2026-09-04,3188,3188,1.0
MSCC,2013-12-23,2018-05-29,1114,1114,1.0
MSFT,2014-01-02,2026-09-04,3188,3188,1.0
MSGY,2026-08-05,2026-08-14,7,7,1.0
MU,2014-01-02,2026-09-04,3188,3188,1.0
MXCT,2021-07-30,2023-01-03,360,360,1.0
MYSEW,2026-07-17,2026-08-14,21,21,1.0
NCRA,2021-01-08,2022-08-10,400,400,1.0
NEM,2014-01-02,2026-09-04,3188,3188,1.0
NFBK,2026-07-17,2026-07-21,3,3,1.0
NFLX,2014-01-02,2026-09-04,3188,3188,1.0
NKE,2014-01-02,2026-09-04,3188,3188,1.0
NMIH,2024-05-08,2024-05-24,13,13,1.0
NOC,2014-01-02,2026-09-04,3188,3188,1.0
NORD,2014-03-31,2023-05-19,2302,2302,1.0
NOW,2014-01-02,2026-09-04,3188,3188,1.0
NRCIB,2013-12-23,2018-04-17,1086,1086,1.0
NSA,2026-07-17,2026-07-17,1,1,1.0
NU,2021-12-31,2026-09-04,1174,1174,1.0
NUE,2014-01-02,2026-09-04,3188,3188,1.0
NVDA,2014-01-02,2026-09-04,3188,3188,1.0
NVO,2020-09-04,2026-09-04,1507,1507,1.0
NXPI,2014-01-02,2026-09-04,3188,3188,1.0
NYRT,2014-04-30,2018-11-02,1139,1139,1.0
OA,2013-12-23,2018-06-06,1120,1120,1.0
OCIP,2013-12-23,2018-07-13,1147,1147,1.0
OCLR,2013-12-23,2018-12-10,1249,1249,1.0
OLPX,2026-07-07,2026-07-08,2,2,1.0
ON,2014-01-02,2026-09-04,3188,3188,1.0
ONSM,2013-12-23,2019-02-06,1289,1289,1.0
ORCL,2014-01-02,2026-09-04,3188,3188,1.0
ORLY,2014-01-02,2026-09-04,3188,3188,1.0
OXY,2014-01-02,2026-09-04,3188,3188,1.0
OZ,2021-10-18,2021-10-22,5,5,1.0
P,2015-10-06,2019-03-01,855,855,1.0
PANW,2014-01-02,2026-09-04,3188,3188,1.0
PARA,2021-02-12,2025-08-07,1126,1126,1.0
PBR,2014-01-02,2026-09-04,3188,3188,1.0
PD,2019-05-10,2019-07-05,39,39,1.0
PEP,2014-01-02,2026-09-04,3188,3188,1.0
PERY,2013-12-23,2018-10-22,1217,1217,1.0
PFE,2014-01-02,2026-09-04,3188,3188,1.0
PFH,2020-09-02,2020-12-04,66,66,1.0
PG,2014-01-02,2026-09-04,3188,3188,1.0
PGEM,2013-12-23,2018-04-11,1082,1082,1.0
PH,2014-01-02,2026-09-04,3188,3188,1.0
PLAG,2013-12-23,2020-10-02,1707,1707,1.0
PLTR,2020-09-30,2026-09-04,1490,1490,1.0
PM,2014-01-02,2026-09-04,3188,3188,1.0
PNC,2014-01-02,2026-09-04,3188,3188,1.0
POWR,2013-12-23,2016-05-17,604,604,1.0
PROP,2013-12-23,2026-09-03,3193,3193,1.0
PRSS,2013-12-23,2018-11-09,1231,1231,1.0
PSX,2014-01-02,2026-09-04,3188,3188,1.0
PTN,2013-12-23,2025-11-11,2990,2990,1.0
PULS,2018-04-10,2019-07-02,310,310,1.0
QCOM,2014-01-02,2026-09-04,3188,3188,1.0
QCP,2016-11-30,2018-07-26,416,416,1.0
QTNA,2016-10-31,2019-06-18,641,641,1.0
RCL,2014-01-02,2026-09-04,3188,3188,1.0
REGN,2014-01-02,2026-09-04,3188,3188,1.0
RGP,2013-12-23,2015-05-12,348,348,1.0
RGS,2013-12-23,2026-09-03,3193,3193,1.0
RILYI,2018-10-01,2021-10-21,771,771,1.0
RIO,2014-01-02,2026-09-04,3188,3188,1.0
RLJE,2013-12-23,2018-10-30,1223,1223,1.0
RLOGQ,2013-12-23,2018-03-02,1055,1055,1.0
RMAX,2026-07-17,2026-07-17,1,1,1.0
RMGN,2013-12-23,2018-09-28,1201,1201,1.0
