issuer,origin_ticker,byma_ticker,ratio_a,ratio_b,ratio,source_url
BANCO_COMAFI,NEM,NEM,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NFLX,NFLX,48,1,48:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NG,NG,1,4,1:4,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NGG,NGG,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NIO,NIO,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NKE,NKE,12,1,12:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NLMK,NLM,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NMR,NMR,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NOK,NOKA,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NSANY,NSAN,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NTES,NTES,14,1,14:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NU,NU,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NUE,NUE,16,1,16:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NVDA,NVDA,24,1,24:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NVS,NVS,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,NXE,NXE,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,OAOFY,ATAD,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,OGZPY,OGZD,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ORANY,ORANY,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ORCL,ORCL,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ORLY,ORLY,222,1,222:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,OXY,OXY,5,1,5:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,PAAS,PAAS,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,PAC,PAC,16,1,16:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,PAGS,PAGS,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
