date,nav,net_return,turnover,cost_fraction,holdings,cash_weight,max_name_weight,rebalance_scheduled,requested_trade_notional,executed_trade_notional,blocked_requested_notional,target_deviation_notional,blocked_trade_names,partial_execution,full_skip,expected_incremental_return
2021-11-18,1.085558755844073,-0.0013887953099651629,0.04094792577737185,8.18958515547437e-05,133,0.0,0.17873594876296575,1,0.803974738652705,0.0818958515547437,0.40002580301800295,0.8000516060360058,6,1,0,0.019398121988392174
2021-11-19,1.0857619418311746,0.00018717180070426664,0.02430681853924574,4.861363707849148e-05,137,0.0,0.1786938133156067,1,0.8206384278151554,0.04861363707849148,0.39993150040970293,0.7998630008194058,6,1,0,0.02065292026030858
2021-11-22,1.0830452935874282,-0.0025020661888044415,0.05106707373700004,0.00010213414747400009,134,0.0,0.1791237420338799,1,0.8125539267531507,0.10213414747400008,0.4008937163598687,0.8017874327197374,6,1,0,0.020105744362322285
2021-11-23,1.0836027397644794,0.0005147025524709914,0.0614848828954454,0.0001229697657908908,141,1.1102230246251565e-16,0.17900957854228194,1,0.8217636871418542,0.1229697657908908,0.40063820904464825,0.8012764180892965,6,1,0,0.019601301154834362
2021-11-24,1.0840096033471243,0.00037547301027807123,0.025860105963692613,5.172021192738523e-05,139,0.0,0.1789331355658933,1,0.8062678406570094,0.051720211927385226,0.40046712335524665,0.8009342467104933,6,1,0,0.019338091790651667
2021-11-26,1.0809024717231812,-0.0028663321933211083,0.020842984657763197,4.1685969315526396e-05,133,0.0,0.179440011245698,1,0.808405615105639,0.04168596931552639,0.40160155295515365,0.8032031059103071,6,1,0,0.018981111790124038
2021-11-29,1.0825196806640378,0.0014961654572576144,0.054294785967029864,0.00010858957193405974,138,0.0,0.17915248417328702,1,0.815433708158502,0.10858957193405973,0.40095804363972687,0.8019160872794538,6,1,0,0.019146930802570503
2021-11-30,1.0789777667800065,-0.0032719163884934455,0.02184550846929277,4.369101693858554e-05,139,0.0,0.17973272727498607,1,0.8095323735406469,0.04369101693858554,0.40225667558427564,0.8045133511685513,6,1,0,0.019827932351967573
2021-12-01,1.0764132324113391,-0.0023768185477265336,0.040777640290034445,8.155528058006889e-05,139,0.0,0.18014624405615967,1,0.8229175890184197,0.08155528058006889,0.4031821602648631,0.8063643205297264,6,1,0,0.019174009753152695
2021-12-02,1.0763606128711452,-4.88841446849575e-05,0.016750635783610475,3.350127156722095e-05,139,0.0,0.18014901535844735,1,0.812921893986426,0.03350127156722095,0.4031883626680769,0.8063767253361538,6,1,0,0.01946620032207568
2021-12-03,1.0749384679977683,-0.0013212531714472675,0.06425206043982289,0.00012850412087964577,137,0.0,0.18036417220213888,1,0.8919698267212889,0.12850412087964577,0.403669901439478,0.807339802878956,6,1,0,0.019255794954446577
2021-12-06,1.0767812405276007,0.0017143051297296985,0.02386419441114388,4.772838882228776e-05,138,0.0,0.18004690837218396,1,0.8170031781958808,0.04772838882228776,0.4029598388067247,0.8059196776134494,6,1,0,0.01998973797077811
2021-12-07,1.0808660403801362,0.0037935280619618705,0.03764878044928072,7.529756089856144e-05,135,0.0,0.17935297075159382,1,0.8385818969444433,0.07529756089856143,0.4014067491465741,0.8028134982931482,6,1,0,0.01954856547864903
2021-12-08,1.0811368138454154,0.00025051528604214113,0.06310680231105556,0.00012621360462211113,134,1.1102230246251565e-16,0.1792854202283239,1,0.8216475398177285,0.12621360462211112,0.40125556550107716,0.8025111310021544,6,1,0,0.019658298860554854
2021-12-09,1.0776731176437124,-0.003203753824072675,0.028053775580331914,5.610755116066383e-05,131,0.0,0.1798515610890405,1,0.8217644805772532,0.05610755116066383,0.4025226354665591,0.8050452709331182,6,1,0,0.020378935629414285
