feature,family,horizon_sessions,development_coverage,validation_coverage,direction_from_development,development_mean_ic,development_hac_t,development_p,development_rich_dates,validation_aligned_ic,validation_aligned_hac_t,validation_rich_dates,development_fdr_q,development_candidate,development_top10_return,development_top10_excess_spy,development_top10_excess_qqq,development_top10_excess_uew,development_top10_dates,validation_top10_return,validation_top10_excess_spy,validation_top10_excess_qqq,validation_top10_excess_uew,validation_top10_dates,validation_confirmation,dev_score,dev_rank,recommended_for_phase2
rel_mom_qqq_120,PRICE_TREND_RISK,5,0.9762552662737537,0.9881778367122059,1,0.0200586409417109,2.535714342173383,0.011221823077659732,2008,0.025831290035988497,1.8192085391756392,496,0.027265997318912428,True,0.005637831697936443,0.003428469285351558,0.002653487815831084,0.001408337706476199,2013.0,0.0043248423461794095,-0.00047704319966940955,-0.0028599424366626968,-9.282120245156128e-05,499.0,False,0.00249676493588628,18.0,True
rel_mom_spy_252,PRICE_TREND_RISK,5,0.9518193783766942,0.9787462530465882,1,0.03165856444838575,3.7440761651364025,0.00018105872783680255,2008,0.043495502575889536,2.6451977376804603,496,0.001190313367658291,True,0.006899764571017791,0.004659950393044912,0.0038904169686184015,0.0026346119703078976,2013.0,0.00533917722209145,0.0005224423873243829,-0.0018848562914274287,0.00091101056076654,499.0,True,0.003728326443990404,8.0,True
rel_mom_qqq_252,PRICE_TREND_RISK,5,0.9518193783766942,0.9787462530465882,1,0.03165856444838575,3.7440761651364025,0.00018105872783680255,2008,0.043495502575889536,2.6451977376804603,496,0.001190313367658291,True,0.006899764571017791,0.004659950393044912,0.0038904169686184015,0.0026346119703078976,2013.0,0.00533917722209145,0.0005224423873243829,-0.0018848562914274287,0.00091101056076654,499.0,True,0.003728326443990404,9.0,True
corr_spy_60,PRICE_TREND_RISK,5,0.98860539817845,0.995274869965542,1,0.03286622474822861,4.590478808318791,4.4223035791102205e-06,2008,0.053801753155590035,3.0064318849737486,496,7.960146442398397e-05,True,0.0025632459624967056,0.00033671412013992546,-0.0004361289725677262,-0.0016876811833667982,2013.0,0.004938847132208918,0.0001301492667116995,-0.002244450191757045,0.000516183282467741,499.0,True,-0.0005956986785981996,44.0,False
corr_qqq_60,PRICE_TREND_RISK,5,0.98860539817845,0.995274869965542,1,0.03557195604010553,4.216993954876177,2.475806095736388e-05,2008,0.055525905354709026,2.565590750721204,496,0.0002475806095736388,True,0.0036840467785429474,0.001457514936186167,0.0006846718434785152,-0.0005668803673205563,2013.0,0.006815133373986368,0.0020069509717423866,-0.00036764848672635794,0.0023924695242451923,499.0,True,0.0005251021374480419,36.0,True
corr_spy_120,PRICE_TREND_RISK,5,0.9798791046720889,0.9904190051079963,1,0.037639984634670276,5.308427487926133,1.1057505866496342e-07,2008,0.061425539071699814,3.46328971059483,496,4.975877639923354e-06,True,0.0027758186066902434,0.0005607234626520709,-0.00021421014177792357,-0.0014601983201051913,2013.0,0.005328051869068449,0.0005244297392927609,-0.0018534270151932064,0.0009072341539180721,499.0,True,-0.0003712283330770147,42.0,False
corr_qqq_120,PRICE_TREND_RISK,5,0.9798791046720889,0.9904190051079963,1,0.03939745325375813,4.510719407831613,6.460813599895587e-06,2008,0.06037492875061612,2.7427750884696955,496,9.691220399843381e-05,True,0.004005811058646132,0.0017907159146079603,0.0010157823101779658,-0.00023020586814930153,2013.0,0.007204665559531427,0.0024015596921190046,2.3702937633037562e-05,0.002783847844381053,499.0,True,0.0008587641188788749,31.0,True
mom_20d_x_breadth,PRICE_TREND_RISK,5,0.9957265522170753,0.9978708900239992,-1,-0.003081972900151566,-0.47839668119356804,0.6323678953274241,2008,0.0014238902129627472,0.10346256029040234,496,0.702630994808249,False,,,,,,,,,,,False,-9.0,73.0,False
mom_60d_x_breadth,PRICE_TREND_RISK,5,0.9876593100921728,0.9940982565577521,1,0.0043165757178815515,0.6005202337298846,0.5481595802650201,2008,0.0011836653557292368,0.09212448423371625,496,0.675813181148655,False,,,,,,,,,,,False,-9.0,74.0,False
mom_120d_x_breadth,PRICE_TREND_RISK,5,0.9762552662737537,0.9881778367122059,1,0.0200586409417109,2.535714342173383,0.011221823077659732,2008,0.025831290035988497,1.8192085391756392,496,0.027265997318912428,True,0.005637831697936443,0.003428469285351558,0.002653487815831084,0.001408337706476199,2013.0,0.0043248423461794095,-0.00047704319966940955,-0.0028599424366626968,-9.282120245156128e-05,499.0,False,0.00249676493588628,19.0,True
size_log_market_cap,SIZE_SINGLE_FACTOR,5,0.5736787341681318,0.7588596188146087,-1,-0.030676838648940552,-4.591647089689015,4.397615398943344e-06,2008,0.018518356369179038,1.8225017861463504,496,7.960146442398397e-05,True,0.006460678371819899,0.004237851132909138,0.003560231395551221,0.0022055307200570845,2008.0,0.008245475477396635,0.0034416589730541024,0.001067376990813903,0.0038313982884695262,496.0,True,0.003334537749505814,13.0,True
