feature,abs_train_ic,train_ic,selected,horizon_sessions,fold
macro_spread_iwm_spy_120_z252,0.002559531905353045,0.002559531905353045,False,252,WF_2017_2018
macro_qqq_ret20_z252,0.0023437390552654798,-0.0023437390552654798,False,252,WF_2017_2018
macro_spread_iwm_spy_60_z252,0.002326278911504417,-0.002326278911504417,False,252,WF_2017_2018
beta_qqq_120,0.002308209210673981,0.002308209210673981,False,252,WF_2017_2018
macro_spread_hyg_tlt_60_z252,0.002084117566910676,0.002084117566910676,False,252,WF_2017_2018
macro_spy_ret5_z252,0.002047884280088071,-0.002047884280088071,False,252,WF_2017_2018
macro_iwm_ret120_z252,0.0019480068605543916,-0.0019480068605543916,False,252,WF_2017_2018
macro_hyg_vol20_z252,0.0017984816474636593,-0.0017984816474636593,False,252,WF_2017_2018
macro_idx_vix_ret60_z252,0.0017912146973581566,0.0017912146973581566,False,252,WF_2017_2018
macro_qqq_ret60_z252,0.001771082723390181,-0.001771082723390181,False,252,WF_2017_2018
macro_idx_vix_ret20_z252,0.0017622298697415406,0.0017622298697415406,False,252,WF_2017_2018
macro_uup_ret60_z252,0.0017222541446798591,0.0017222541446798591,False,252,WF_2017_2018
macro_iwm_vol60_z252,0.0014210547434177763,-0.0014210547434177763,False,252,WF_2017_2018
macro_tlt_ret5_z252,0.0013509485665836923,-0.0013509485665836923,False,252,WF_2017_2018
macro_qqq_ret5_z252,0.0012141649551391236,-0.0012141649551391236,False,252,WF_2017_2018
mom_accel_20_60,0.0011835621849025327,-0.0011835621849025327,False,252,WF_2017_2018
macro_uup_ret20_z252,0.0007094534650747578,0.0007094534650747578,False,252,WF_2017_2018
macro_idx_vix_ret5_z252,0.0006888035905312695,0.0006888035905312695,False,252,WF_2017_2018
macro_uup_ret5_z252,0.0002553937272993556,0.0002553937272993556,False,252,WF_2017_2018
macro_iwm_vol20_z252,0.0001725265838654933,0.0001725265838654933,False,252,WF_2017_2018
macro_spread_hyg_tlt_20_z252,2.5723753499471813e-05,-2.5723753499471813e-05,False,252,WF_2017_2018
size_log_market_cap,0.19021955154339815,-0.19021955154339815,True,252,WF_2019_2020
fund_update_count_60d,0.15204100684075486,0.15204100684075486,True,252,WF_2019_2020
corr_qqq_120,0.14881166329566733,0.14881166329566733,True,252,WF_2019_2020
corr_spy_120,0.1303654057452642,0.1303654057452642,True,252,WF_2019_2020
cash_yield,0.13014608555709067,0.13014608555709067,True,252,WF_2019_2020
cash_assets,0.1253577228066664,0.1253577228066664,True,252,WF_2019_2020
corr_qqq_60,0.11764027696984113,0.11764027696984113,True,252,WF_2019_2020
corr_spy_60,0.1037905458557168,0.1037905458557168,True,252,WF_2019_2020
downside_vol_60,0.10052554794309315,-0.10052554794309315,True,252,WF_2019_2020
downside_vol_120,0.0990123431639552,-0.0990123431639552,True,252,WF_2019_2020
current_ratio,0.09851581314443719,0.09851581314443719,True,252,WF_2019_2020
worst_day_60,0.09453209887154536,0.09453209887154536,False,252,WF_2019_2020
vol_60,0.09281714585265077,-0.09281714585265077,True,252,WF_2019_2020
dist_high_252,0.09278951834951019,0.09278951834951019,True,252,WF_2019_2020
vol_120,0.09242795478238748,-0.09242795478238748,False,252,WF_2019_2020
downside_vol_20,0.09088397970814698,-0.09088397970814698,True,252,WF_2019_2020
worst_day_20,0.08787878066212534,0.08787878066212534,False,252,WF_2019_2020
dist_high_120,0.08718127627255833,0.08718127627255833,True,252,WF_2019_2020
vol_20,0.0861823562397948,-0.0861823562397948,True,252,WF_2019_2020
downside_vol_10,0.0843486630926288,-0.0843486630926288,True,252,WF_2019_2020
dist_high_60,0.08211860593309145,0.08211860593309145,True,252,WF_2019_2020
vol_10,0.08202264683562398,-0.08202264683562398,True,252,WF_2019_2020
fund_update_count_20d,0.07824662592654263,0.07824662592654263,True,252,WF_2019_2020
best_day_20,0.07559154579061231,-0.07559154579061231,True,252,WF_2019_2020
best_day_60,0.07326293400219072,-0.07326293400219072,True,252,WF_2019_2020
dist_high_20,0.0646831684714403,0.0646831684714403,True,252,WF_2019_2020
trend_sma_252,0.06237258523598506,0.06237258523598506,True,252,WF_2019_2020
trend_sma_120,0.061111106404163375,0.061111106404163375,True,252,WF_2019_2020
chg_assets_252d,0.06101549549663329,0.06101549549663329,True,252,WF_2019_2020
mom_252d,0.06049925166481445,0.06049925166481445,True,252,WF_2019_2020
rel_mom_qqq_252,0.06049925166481445,0.06049925166481445,False,252,WF_2019_2020
