horizon_sessions,fold,expert,train_rows,test_rows,selected_features,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,winner_lift
252,WF_2021_2022,RIDGE_RANK_DECAY,285577,59864,40,-0.08408948089991264,-0.1024272812672866,-0.15525140903165652,0.0,0.6256203144402668
252,WF_2021_2022,HGB_RANK_DECAY,285577,59864,40,-0.06920932483214955,-0.11274793467390645,-0.056577735928921895,0.0,0.6954639124894177
252,WF_2021_2022,HGB_ABS_RETURN_DECAY,285577,59864,40,-0.02280032129816861,-0.06229950441921805,-0.08756744593902122,0.3333333333333333,1.0372517327299435
252,WF_2021_2022,HGB_BENCH_EXCESS_DECAY,285577,59864,40,-0.052521334106767535,-0.06960034554491133,-0.11476121260976792,0.0,1.09817912677282
252,WF_2021_2022,HGB_WINNER_DECAY,285577,59864,40,-0.028289513853312492,-0.0502954972497451,-0.1829240535799531,0.3333333333333333,1.4077177143382718
252,WF_2023_2024,RIDGE_RANK_DECAY,247946,55599,40,0.017114586597626484,0.009180588596347301,0.2365563889277223,1.0,1.5937823721756397
252,WF_2023_2024,HGB_RANK_DECAY,247946,55599,40,0.08805634562085474,0.064821758948448,0.2895422829029412,1.0,2.2037074301406654
252,WF_2023_2024,HGB_ABS_RETURN_DECAY,247946,55599,40,0.11426901643079539,0.0572776743607979,0.29417406565249143,1.0,2.797013276716999
252,WF_2023_2024,HGB_BENCH_EXCESS_DECAY,247946,55599,40,0.11565640692667038,0.06820421328718787,0.2607656252176664,1.0,2.8668139645495083
252,WF_2023_2024,HGB_WINNER_DECAY,247946,55599,40,-0.02648139444845486,-0.09108640245027035,0.07727445749272797,0.3333333333333333,2.349956490361162
