program_name,current_ratio,ratio_a,ratio_b,caja_code,market_id,origin_ticker,issuer
KONINKLIJKE PHILIPS NVR- NY,5:1,5,1,8059,PHG,PHG,BANCO_COMAFI
KOREA ELEC POWER CORP-SP ADR,1:1,1,1,8409,KEP,KEP,BANCO_COMAFI
LAM RESEARCH CORP,56:1,56,1,8565,LRCX,LRCX,BANCO_COMAFI
LAS VEGAS SANDS CORP,2:1,2,1,8436,LVS,LVS,BANCO_COMAFI
LITHIUM AMERICAS CORP,1:1,1,1,8593,LAC,LAC,BANCO_COMAFI
LITHIUM ARGENTINA AG.,1:1,1,1,8651,LAR,LAR,BANCO_COMAFI
LLOYDS BANKING GROUP PLC-ADR,2:1,2,1,8250,LYG,LYG,BANCO_COMAFI
LOCKHEED MARTIN CORP,20:1,20,1,8125,LMT,LMT,BANCO_COMAFI
LUKOIL PJSC-SPON ADR,4:1,4,1,8378,LKOD,LUKOY,BANCO_COMAFI
MARSH & MCLENNAN COS,16:1,16,1,8135,MMC,MMC,BANCO_COMAFI
MARVELL TECHNOLOGY INC,14:1,14,1,8594,MRVL,MRVL,BANCO_COMAFI
MATERIALS SELECT SECTOR SPDR FUND/THE,18:1,18,1,8669,XLB,XLB,BANCO_COMAFI
MASTERCARD INC - A,33:1,33,1,8537,MA,MA,BANCO_COMAFI
MCDONALD'S CORP,24:1,24,1,8030,MCD,MCD,BANCO_COMAFI
MCEWEN MINING INC,2:1,2,1,8595,MUX,MUX,BANCO_COMAFI
MEDTRONIC PLC,4:1,4,1,8133,MDT,MDT,BANCO_COMAFI
MERCADOLIBRE INC,120:1,120,1,8444,MELI,MELI,BANCO_COMAFI
MERCEDES-BENZ GROUP AG,4:1,4,1,8188,MBG,MBG,BANCO_COMAFI
MERCK & CO. INC.,5:1,5,1,8031,MRK,MRK,BANCO_COMAFI
META PLATFORMS INC.,24:1,24,1,8467,META,META,BANCO_COMAFI
MICROSOFT CORP,30:1,30,1,8032,MSFT,MSFT,BANCO_COMAFI
MITSUBISHI UFJ FINL-SPON ADR,1:1,1,1,8182,MUFG,MUFG,BANCO_COMAFI
MIZUHO FINANCIAL GROUP-ADR,1:1,1,1,8395,MFG,MFG,BANCO_COMAFI
MOBILE TELESYSTEMS-SP ADR,2:1,2,1,8372,MBT,MBT,BANCO_COMAFI
MODERNA INC.,19:1,19,1,8637,MRNA,MRNA,BANCO_COMAFI
"MONDELEZ INTERNATIONAL, INC.",15:1,15,1,8632,MDLZ,MDLZ,BANCO_COMAFI
MOTOROLA SOLUTIONS INC,20:1,20,1,8034,MSI,MSI,BANCO_COMAFI
NATIONAL GRID PLC-SP ADR,2:1,2,1,8266,NGG,NGG,BANCO_COMAFI
NEC CORP,1:3,1,3,8304,NEC1,NEC1,BANCO_COMAFI
NETEASE INC-ADR,14:1,14,1,8506,NTES,NTES,BANCO_COMAFI
NETFLIX INC,48:1,48,1,8474,NFLX,NFLX,BANCO_COMAFI
NEWMONT CORP,3:1,3,1,8261,NEM,NEM,BANCO_COMAFI
NEXGEN ENERGY LTD,1:1,1,1,8652,NXE,NXE,BANCO_COMAFI
NIKE INC -CL B,12:1,12,1,8139,NKE,NKE,BANCO_COMAFI
NIO INC.,4:1,4,1,8559,NIO,NIO,BANCO_COMAFI
NISSAN MOTOR CO LTD-SPON ADR,1:1,1,1,8299,NSAN,NSANY,BANCO_COMAFI
NOKIA CORP-SPON ADR,1:1,1,1,8057,NOKA,NOK,BANCO_COMAFI
NOMURA HOLDINGS INC-SPON ADR,1:1,1,1,8298,NMR,NMR,BANCO_COMAFI
NOVAGOLD RESOURCES INC,1:4,1,4,8482,NG,NG,BANCO_COMAFI
NOVARTIS AG-SPONSORED ADR,4:1,4,1,8251,NVS,NVS,BANCO_COMAFI
NOVOLIPETSK STEEL PJSC-GDR,2:1,2,1,8398,NLM,NLMK,BANCO_COMAFI
NU HOLDINGS LTD/CAYMAN ISLANDS,2:1,2,1,8596,NU,NU,BANCO_COMAFI
NUCOR CORP,16:1,16,1,8140,NUE,NUE,BANCO_COMAFI
NVIDIA CORP,24:1,24,1,8469,NVDA,NVDA,BANCO_COMAFI
O'REILLY AUTOMOTIVE INC.,222:1,222,1,8653,ORLY,ORLY,BANCO_COMAFI
ORACLE CORP,3:1,3,1,8142,ORCL,ORCL,BANCO_COMAFI
ORANGE-SPON ADR,1:1,1,1,8192,ORANY,ORANY,BANCO_COMAFI
PACCAR INC,3:1,3,1,8144,PCAR,PCAR,BANCO_COMAFI
PAGSEGURO DIGITAL LTD,3:1,3,1,8597,PAGS,PAGS,BANCO_COMAFI
PALANTIR TECHNOLOGIES INC,3:1,3,1,8598,PLTR,PLTR,BANCO_COMAFI
PAN AMERICAN SILVER CORP,3:1,3,1,8538,PAAS,PAAS,BANCO_COMAFI
PANASONIC CORP-SPON ADR,2:1,2,1,8201,PCRF,PCRFY,BANCO_COMAFI
PAYPAL HOLDINGS INC,8:1,8,1,8477,PYPL,PYPL,BANCO_COMAFI
PEARSON PLC-SPONSORED ADR,1:1,1,1,8362,PSO,PSO,BANCO_COMAFI
PEPSICO INC,18:1,18,1,8146,PEP,PEP,BANCO_COMAFI
PETROCHINA CO LTD -ADR,4:1,4,1,8361,PTRCY,PTRCY,BANCO_COMAFI
PETROLEO BRASILEIRO-SPON ADR,1:1,1,1,8526,PBR,PBR,BANCO_COMAFI
PFIZER INC,4:1,4,1,8147,PFE,PFE,BANCO_COMAFI
PHILIP MORRIS INTERNATIONAL INC.,18:1,18,1,8630,PM,PM,BANCO_COMAFI
PHILLIPS 66,6:1,6,1,8539,PSX,PSX,BANCO_COMAFI
PINTEREST INC.,7:1,7,1,8646,PINS,PINS,BANCO_COMAFI
PITNEY BOWES INC,1:1,1,1,8143,PBI,PBI,BANCO_COMAFI
POSCO HONDINGS INC,3:1,3,1,8411,PKS,PKX,BANCO_COMAFI
PROCTER & GAMBLE CO/THE,15:1,15,1,8037,PG,PG,BANCO_COMAFI
QUALCOMM INC,11:1,11,1,8151,QCOM,QCOM,BANCO_COMAFI
REAL ESTATE SELECT SECTOR SPDR FUND/THE,9:1,9,1,8674,XLRE,XLRE,BANCO_COMAFI
RIO TINTO PLC-SPON ADR,8:1,8,1,8267,RIO,RIO,BANCO_COMAFI
RIOT PLATFORMS INC.,3:1,3,1,8642,RIOT,RIOT,BANCO_COMAFI
ROKU INC.,13:1,13,1,8643,ROKU,ROKU,BANCO_COMAFI
ROSS STORES INC,4:1,4,1,8492,ROST,ROST,BANCO_COMAFI
RTX CORPORATION,5:1,5,1,8042,RTX,RTX,BANCO_COMAFI
SALESFORCE INC,18:1,18,1,8478,CRM,CRM,BANCO_COMAFI
SAMSUNG ELECTR-GDR REG S,14:1,14,1,8413,SMSN,SMSN,BANCO_COMAFI
SAP SE-SPONSORED ADR,6:1,6,1,8209,SAP,SAP,BANCO_COMAFI
SCHLUMBERGER LTD,3:1,3,1,8157,SLB,SLB,BANCO_COMAFI
SEA LTD.,32:1,32,1,8560,SE,SE,BANCO_COMAFI
SHAPEWAYS HOLDINGS INC,1:2,1,2,8599,SHPWQ,SHPWQ,BANCO_COMAFI
SHELL PLC,2:1,2,1,8255,SHEL,SHEL,BANCO_COMAFI
SHOPIFY INC - CLASS A,107:1,107,1,8546,SHOP,SHOP,BANCO_COMAFI
SIEMENS AG-SPONS ADR,3:1,3,1,8256,SIEGY,SIEGY,BANCO_COMAFI
SKYWORKS SOLUTIONS INC.,21:1,21,1,8645,SWKS,SWKS,BANCO_COMAFI
SNAP INC - A,1:1,1,1,8488,SNAP,SNAP,BANCO_COMAFI
SNAP-ON INC,6:1,6,1,8160,SNA,SNA,BANCO_COMAFI
SNOWFLAKE INC-CLASS A,30:1,30,1,8548,SNOW,SNOW,BANCO_COMAFI
SONY CORP-SPONSORED ADR,8:1,8,1,8294,SONY,SONY,BANCO_COMAFI
SOUTHERN COPPER CORP,2:1,2,1,8435,SCCO,SCCO,BANCO_COMAFI
SPOTIFY TECHNOLOGY SA,28:1,28,1,8547,SPOT,SPOT,BANCO_COMAFI
S&P GLOBAL INC,45:1,45,1,8563,SPGI,SPGI,BANCO_COMAFI
STARBUCKS CORP,12:1,12,1,8154,SBUX,SBUX,BANCO_COMAFI
STELLANTIS NV,5:1,5,1,8638,STLA,STLA,BANCO_COMAFI
STONECO LTD,3:1,3,1,8628,STNE,STNE,BANCO_COMAFI
SUNCAR TECHNOLOGY GROUP INC,2:1,2,1,8629,SDA,SDA,BANCO_COMAFI
SUZANO SA - SPON ADR,1:1,1,1,8518,SUZ,SUZ,BANCO_COMAFI
SYSCO CORP,8:1,8,1,8165,SYY,SYY,BANCO_COMAFI
T-MOBILE US INC.,33:1,33,1,8640,TMUS,TMUS,BANCO_COMAFI
TAIWAN SEMICONDUCTOR-SP ADR,9:1,9,1,8297,TSM,TSM,BANCO_COMAFI
TARGET CORP,24:1,24,1,8493,TGT,TGT,BANCO_COMAFI
TATNEFT PAO-SPONSORED ADR,4:1,4,1,8374,ATAD,OAOFY,BANCO_COMAFI
TECHNOLOGY SELECT SECTOR SPDR FUND/THE,46:1,46,1,8671,XLK,XLK,BANCO_COMAFI
TELECOM ITALIA SPA-SPON ADR,1:1,1,1,8211,TIIAY,TIIAY,BANCO_COMAFI
TELEFONICA BRASIL-ADR,1:1,1,1,8503,VIV,VIV,BANCO_COMAFI
TELEFONICA SA-SPON ADR,8:1,8,1,8062,TEFO,TEF,BANCO_COMAFI
TENARIS SA-ADR,1:1,1,1,8524,TEN,TS,BANCO_COMAFI
TERNIUM SA-SPONSORED ADR,4:1,4,1,8432,TXR,TX,BANCO_COMAFI
TESLA INC,15:1,15,1,8479,TSLA,TSLA,BANCO_COMAFI
TEXAS INSTRUMENTS INC,5:1,5,1,8168,TXN,TXN,BANCO_COMAFI
THERMO FISHER SCIENTIFIC INC,22:1,22,1,8476,TMO,TMO,BANCO_COMAFI
TIM SA-ADR,1:1,1,1,8521,TSU,TIMB,BANCO_COMAFI
TJX COMPANIES INC./THE,22:1,22,1,8654,TJX,TJX,BANCO_COMAFI
TOTALENERGIES SE - ADR,3:1,3,1,8213,TTE,TTE,BANCO_COMAFI
TOYOTA MOTOR CORP -SPON ADR,15:1,15,1,8214,TM,TM,BANCO_COMAFI
TRAVELERS COS INC/THE,6:1,6,1,8437,TRV,TRV,BANCO_COMAFI
TRIP.COM GROUP LTD-ADR,2:1,2,1,8507,TCOM,TCOM,BANCO_COMAFI
TRIPADVISOR INC,2:1,2,1,8483,TRIP,TRIP,BANCO_COMAFI
TWILIO INC,36:1,36,1,8561,TWLO,TWLO,BANCO_COMAFI
ULTRAPAR PARTICPAC-SPON ADR,1:1,1,1,8516,UGP,UGP,BANCO_COMAFI
UNILEVER N V -NY SHARES,3:1,3,1,8215,UL,UL,BANCO_COMAFI
UNION PACIFIC CORP,20:1,20,1,8540,UNP,UNP,BANCO_COMAFI
UNITED STATES STEEL CORP,3:1,3,1,8433,X,X,BANCO_COMAFI
UNITEDHEALTH GROUP INC,33:1,33,1,8541,UNH,UNH,BANCO_COMAFI
URBAN OUTFITTERS INC,2:1,2,1,8485,URBN,URBN,BANCO_COMAFI
US BANCORP,5:1,5,1,8287,USB,USB,BANCO_COMAFI
VALE SA-SP ADR,2:1,2,1,8358,VALE,VALE,BANCO_COMAFI
VANGUARD FTSE DEVELOPED MARKETS ETF,10:1,10,1,8664,VEA,VEA,BANCO_COMAFI
VERISIGN INC,6:1,6,1,8489,VRSN,VRSN,BANCO_COMAFI
VERIZON COMMUNICATIONS INC,4:1,4,1,8288,VZ,VZ,BANCO_COMAFI
VIRGIN GALACTIC HOLDINGS INC.,1:2,1,2,8641,SPCE,SPCE,BANCO_COMAFI
VISA INC-CLASS A SHARES,18:1,18,1,8495,V,V,BANCO_COMAFI
