period_start,period_end,alpha_engine_wealth,alpha_engine_drawdown,spy_wealth,spy_drawdown
2021-09-30,2021-10-29,5.442108712030191,0.0,2.8530286957055373,0.0
2021-10-29,2021-11-30,5.64833932469538,0.0,2.8301050491893314,-0.00803484610957872
2021-11-30,2021-12-31,5.724525394054527,0.0,2.9609915651891456,0.0
2021-12-31,2022-01-31,5.065239806329625,-0.11516860217086877,2.8048247793433223,-0.052741381529686215
2022-01-31,2022-02-28,5.224437510025392,-0.08735883756381346,2.7220354189062257,-0.08070139378044994
2022-02-28,2022-03-31,5.564222203429022,-0.028002878770001627,2.8243571528876323,-0.04614481645535695
2022-03-31,2022-04-29,5.338472070737467,-0.06743848559358534,2.5764660577998524,-0.12986376317648518
2022-04-29,2022-05-31,5.5717130224217035,-0.026694330291823554,2.5822812861966886,-0.1278998168872748
2022-05-31,2022-06-30,4.552784514373437,-0.20468786476134004,2.369346062806287,-0.19981330218516336
2022-06-30,2022-07-29,5.195418637060449,-0.0924280565762895,2.58753258302194,-0.1261263242211733
2022-07-29,2022-08-31,5.322699748758275,-0.07019370474163433,2.4819564644422347,-0.16178198762153873
2022-08-31,2022-09-30,4.799993223389486,-0.16150372424328074,2.2525097128569227,-0.2392718238921987
2022-09-30,2022-10-31,5.712772679892576,-0.0020530460349004187,2.4355836575501777,-0.1774432301043739
2022-10-31,2022-11-30,5.948542539903901,0.0,2.57098162612267,-0.13171599124145505
2022-11-30,2022-12-30,5.618256907536849,-0.055523790937265116,2.4228202826512395,-0.18175373711458997
2022-12-30,2023-01-31,6.055971954150974,0.0,2.5751851304043747,-0.1302963640020116
2023-01-31,2023-02-28,5.955075159634266,-0.016660710333631923,2.510438142883762,-0.15216302119948888
2023-02-28,2023-03-31,5.901653526491888,-0.02548202482234263,2.6035196083496253,-0.12072711082400045
2023-03-31,2023-04-28,5.667267577665002,-0.06418529996981581,2.645110623296036,-0.10668079761075966
2023-04-28,2023-05-31,5.69878647733974,-0.05898070194436855,2.6573211875400045,-0.10255698841538008
2023-05-31,2023-06-30,6.235751161667717,0.0,2.829514629616357,-0.044403009153587414
2023-06-30,2023-07-31,6.5951414901963314,0.0,2.9221338693480354,-0.013123203827373309
2023-07-31,2023-08-31,6.5860038754069015,-0.0013855070134602965,2.8746437136339718,-0.029161802610423226
2023-08-31,2023-09-29,6.506120230303725,-0.01349800607385554,2.7382863132553954,-0.07521306529609251
2023-09-29,2023-10-31,6.327001464816903,-0.04065720588072563,2.678842183173427,-0.09528881653457033
2023-10-31,2023-11-30,6.894568485466838,0.0,2.9235373290247537,-0.01264922082343023
2023-11-30,2023-12-29,7.328875066474239,0.0,3.0570127944123664,0.0
2023-12-29,2024-01-31,7.849764860872648,0.0,3.1057003695480594,0.0
2024-01-31,2024-02-29,8.172977564047903,0.0,3.2677770126811816,0.0
2024-02-29,2024-03-28,8.548915932711955,0.0,3.3746399224123977,0.0
2024-03-28,2024-04-30,8.604527072468452,0.0,3.2385753054385025,-0.04031974376591507
2024-04-30,2024-05-31,8.809652274104147,0.0,3.4023805434104473,0.0
2024-05-31,2024-06-28,8.990836146581747,0.0,3.5224185041538143,0.0
2024-06-28,2024-07-31,8.915265734237774,-0.008405270779259455,3.565071465537644,0.0
2024-07-31,2024-08-30,9.316928103424916,0.0,3.6483711749480934,0.0
2024-08-30,2024-09-30,9.437160521520445,0.0,3.725003995947538,0.0
2024-09-30,2024-10-31,9.408549293155614,-0.0030317623928920456,3.6917629695920775,-0.008923755891704688
2024-10-31,2024-11-29,10.374597342244074,0.0,3.91191667885755,0.0
2024-11-29,2024-12-31,9.894893547830499,-0.04623830483138669,3.817794902192044,-0.024060271317689175
2024-12-31,2025-01-31,10.655479227555471,0.0,3.9203277313906373,0.0
2025-01-31,2025-02-28,10.821435635629648,0.0,3.870559405358523,-0.012694940179009073
2025-02-28,2025-03-31,10.664684101448069,-0.014485280831452063,3.6548949068324994,-0.06770679462147478
2025-03-31,2025-04-30,10.906710835024686,0.0,3.6232063604363893,-0.07578993168738257
2025-04-30,2025-05-30,11.11821224405861,0.0,3.8509065215178113,-0.01770801183711257
2025-05-30,2025-06-30,11.59290038951745,0.0,4.0487896853700605,0.0
2025-06-30,2025-07-31,11.604571890061552,0.0,4.142039986569976,0.0
2025-07-31,2025-08-29,12.416540342300918,0.0,4.2270325016875985,0.0
2025-08-29,2025-09-30,13.138317489048584,0.0,4.377600815911322,0.0
2025-09-30,2025-10-31,12.991707975395252,-0.011158926078284948,4.4819514094801365,0.0
2025-10-31,2025-11-28,13.262617851163451,0.0,4.490691236748037,0.0
2025-11-28,2025-12-31,13.151842686268793,-0.008352435856767149,4.494272576294795,0.0
2025-12-31,2026-01-30,14.470132948888617,0.0,4.56050835125233,0.0
2026-01-30,2026-02-27,15.404601115998897,0.0,4.5210962271683774,-0.008642046247570145
2026-02-27,2026-03-31,15.573823950687048,0.0,4.297846454717496,-0.0575948723923958
2026-03-31,2026-04-30,16.16712360120063,0.0,4.749346772522963,0.0
2026-04-30,2026-05-29,15.676337960174958,-0.030357016692148187,4.999284722863217,0.0
2026-05-29,2026-06-30,17.075118133527848,0.0,4.947829252681478,-0.010292566443838913
2026-06-30,2026-07-31,16.906835587557964,-0.009855424990557027,4.949551983764268,-0.00994797093102262
2026-07-31,2026-08-31,16.77762788600814,-0.01742244154291217,5.082197019978522,0.0
2026-08-31,2026-09-02,17.206670882208247,0.0,5.103001626383502,0.0
