decision_id,asof,period_start,period_end,universe_rows,full_alpha_available,candidate_count,selected_count,gross_return_1m_reconstructed,turnover_reconstructed,transaction_cost_return_reconstructed,net_return_1m_reconstructed,net_return_1m_persisted,gross_return_1m_persisted,turnover_persisted,transaction_cost_return_persisted,replay_error,gross_replay_error,turnover_replay_error,cost_replay_error,weights_sum,month,spy_return_1m,alpha_engine_return_1m,active_return_1m,period_start_reuse_count,forward_interval_reused,alpha_engine_nav_start,alpha_engine_nav,spy_nav_start,spy_nav,active_nav
43,2017-07-31,2017-07-31,2017-08-31,166,27,8,8,-4.12266809597427e-05,0.034790356550254024,3.4790356550254024e-06,-4.47057166147681e-05,-4.1582761168379455e-05,-3.810452072942026e-05,0.0347824043895918,3.478240438959189e-06,-3.1229554463886475e-06,-3.1221602303224336e-06,7.95216066222515e-06,7.952160662134829e-10,1.0,2017-08,0.00291787331692972,-4.1582761168379455e-05,-0.0029594560780980992,1,False,199.2788667001619,199.270580134642,142.10292084808918,142.5175591690896,139.82177445111725
44,2017-08-31,2017-08-31,2017-09-29,166,27,8,8,0.013213854032143688,0.10971571208956671,1.0971571208956671e-05,0.01320288246093473,0.0132069093183681,0.0132178821140093,0.1097279564121024,1.097279564121025e-05,-4.026857433369821e-06,-4.0280818656129175e-06,-1.2244322535687191e-05,-1.2244322535794202e-09,1.0,2017-09,0.02014946940432849,0.0132069093183681,-0.00694256008596039,1,False,199.270580134642,201.90232861629883,142.5175591690896,145.38921236714674,138.87022656566936
45,2017-09-29,2017-09-29,2017-10-31,166,27,8,8,0.04485161005176564,0.1473859587669369,1.473859587669369e-05,0.044836871455888945,0.0448112684341735,0.044826005717985,0.1473728381144479,1.4737283811444794e-05,2.5603021715447927e-05,2.560433378064053e-05,1.3120652488984863e-05,1.3120652488950494e-09,1.0,2017-10,0.02356419906179341,0.0448112684341735,0.021247069372380085,1,False,201.90232861629883,210.9498280614085,145.38921236714674,148.81519270880355,141.75288438068813
46,2017-10-31,2017-10-31,2017-11-30,167,27,8,8,-0.0012408121127575533,0.20441144714932158,2.044114471493216e-05,-0.0012612532574724855,-0.0012501669749789,-0.0012297048076113,0.204621673675873,2.0462167367587303e-05,-1.1086282493585594e-05,-1.1107305146253318e-05,-0.00021022652655142138,-2.10226526551443e-08,1.0,2017-11,0.030566150945595894,-0.0012501669749789,-0.031816317920574794,1,False,210.9498280614085,210.68610555298866,148.81519270880355,153.36390035213878,137.37659584115454
47,2017-11-30,2017-11-30,2017-12-29,167,27,8,8,0.01704927797698106,0.19910594924460362,1.9910594924460363e-05,0.0170293673820566,0.0170211857841143,0.0170410920038692,0.1990621975488812,1.9906219754888127e-05,8.181597942299307e-06,8.185973111859285e-06,4.375169572243265e-05,4.375169572236337e-09,1.0,2017-12,0.012127579304952452,0.0170211857841143,0.004893606479161847,1,False,210.68610555298866,214.27223289773758,153.36390035213878,155.22383321617616,138.0408075603482
48,2017-12-29,2017-12-29,2018-01-31,167,27,8,8,0.1836154779352844,0.16311574274581359,1.631157427458136e-05,0.1835991663610098,0.1836001997816182,0.1836165053418582,0.1630556024003816,1.6305560240038166e-05,-1.0334206083928432e-06,-1.0274065737891913e-06,6.0140345431974884e-05,6.014034543194084e-09,1.0,2018-01,0.056359123359262187,0.1836001997816182,0.12724107642235602,1,False,214.27223289773758,253.6126576654156,155.22383321617616,163.97211238070417,154.66816520396313
49,2018-01-31,2018-01-31,2018-02-28,167,27,8,8,0.009138847149668743,0.05225072858862157,5.225072858862157e-06,0.00913362207680988,0.0091309179322025,0.0091361471714186,0.0522923921608751,5.229239216087514e-06,2.7041446073808317e-06,2.699978250142454e-06,-4.1663572253526626e-05,-4.16635722535707e-09,1.0,2018-02,-0.0363602990728239,0.0091309179322025,0.045491217005026396,1,False,253.6126576654156,255.9283740291263,163.97211238070417,158.01003733493908,161.96969404331352
50,2018-02-28,2018-02-28,2018-03-29,169,28,8,8,-0.01792311047835193,0.09629944464086226,9.629944464086227e-06,-0.017932740422816017,-0.017936835506401,-0.0179272101067049,0.096253996961065,9.62539969610651e-06,4.095083584981785e-06,4.099628352970813e-06,4.544767979726416e-05,4.544767979718111e-09,0.9999999999999999,2018-03,-0.02741061427260416,-0.017936835506401,0.009473778766203162,1,False,255.9283740291263,251.33782888274519,158.01003733493908,153.67888515035128,163.54740512130186
51,2018-03-29,2018-03-29,2018-04-30,169,28,8,8,0.014434092529994173,0.0020081748310747643,2.0081748310747643e-07,0.014433891712511065,0.0144440036762264,0.0144442111579703,0.0020748174398821,2.074817439882113e-07,-1.0111963715335112e-05,-1.0118627976127628e-05,-6.664260880733571e-05,-6.664260880734856e-09,1.0,2018-04,0.0051682823168131,0.0144440036762264,0.0092757213594133,1,False,251.33782888274519,254.9681534071023,153.67888515035128,154.47314101494138,165.05662520479243
52,2018-04-30,2018-04-30,2018-05-31,169,28,8,8,0.0035650567218443708,0.15498823134351775,1.5498823134351776e-05,0.003549557898710019,0.003545530924282,0.0035610240663523,0.1549314207032583,1.549314207032584e-05,4.026974428018599e-06,4.032655492070946e-06,5.681064025944704e-05,5.681064025936708e-09,1.0,2018-05,0.024308941796438166,0.003545530924282,-0.020763410872156166,1,False,254.9681534071023,255.87215087971427,154.47314101494138,158.22821960898656,161.71081967048946
