decision_id,asof,period_start,period_end,universe_rows,full_alpha_available,candidate_count,selected_count,gross_return_1m_reconstructed,turnover_reconstructed,transaction_cost_return_reconstructed,net_return_1m_reconstructed,net_return_1m_persisted,gross_return_1m_persisted,turnover_persisted,transaction_cost_return_persisted,replay_error,gross_replay_error,turnover_replay_error,cost_replay_error,weights_sum
91,2021-07-30,2021-07-30,2021-08-31,178,132,27,27,0.04033202822506675,0.09213089258138715,9.213089258138715e-06,0.04032281513580861,0.0403303658489819,0.0403395782431674,0.0921239418547779,9.212394185477798e-06,-7.550713173286316e-06,-7.550018100647982e-06,6.950726609250557e-06,6.950726609166911e-10,1.0
92,2021-08-31,2021-08-31,2021-09-30,178,132,27,27,-0.04963378595609703,0.12701699697122104,1.2701699697122105e-05,-0.04964648765579415,-0.0496405189819415,-0.0496278093597413,0.1270962220021818,1.270962220021818e-05,-5.96867385264932e-06,-5.9765963557265045e-06,-7.922503096075006e-05,-7.92250309607509e-09,1.0
93,2021-09-30,2021-09-30,2021-10-29,178,133,27,27,0.07068340009553589,0.12191855576432915,1.2191855576432917e-05,0.07067120823995945,0.0706945595117541,0.0707067514930567,0.1219198130267576,1.2191981302675768e-05,-2.3351271794647133e-05,-2.3351397520812722e-05,-1.2572624284445943e-06,-1.2572624285085352e-10,1.0
94,2021-10-29,2021-10-29,2021-11-30,178,133,27,27,0.0379502178518707,0.09337434748801068,9.337434748801069e-06,0.0379408804171219,0.0378953496848197,0.0379046897384597,0.0934005364003309,9.340053640033091e-06,4.5530732302200005e-05,4.552811341099888e-05,-2.6188912320215807e-05,-2.618891232022448e-09,1.0
95,2021-11-30,2021-11-30,2021-12-31,178,134,27,27,0.013524479001708408,0.04452220418142322,4.452220418142322e-06,0.013520026781290266,0.0134882245877207,0.0134926773669553,0.0445277923460784,4.452779234607846e-06,3.1802193569565804e-05,3.1801634753109154e-05,-5.588164655179195e-06,-5.588164655235303e-10,0.9999999999999999
96,2021-12-31,2021-12-31,2022-01-31,178,134,27,27,-0.11518557343300083,0.09851089160940912,9.851089160940913e-06,-0.11519542452216178,-0.1151686021708687,-0.1151587580170574,0.0984415381125945,9.844153811259455e-06,-2.6822351293073754e-05,-2.6815415943431953e-05,6.935349681462533e-05,6.935349681457591e-09,1.0
97,2022-01-31,2022-01-31,2022-02-28,178,134,27,27,0.03140611695286126,0.2789070931726457,2.7890709317264574e-05,0.03137822624354399,0.0314294504865949,0.031457313316709,0.2786283011409625,2.786283011409625e-05,-5.122424305090828e-05,-5.119636384774001e-05,0.0002787920316832393,2.7879203168326017e-08,1.0
98,2022-02-28,2022-02-28,2022-03-31,178,136,28,28,0.0650417207067886,0.4172906223892617,4.172906223892617e-05,0.06499999164454967,0.0650375648577676,0.0650792310686178,0.4166621085012846,4.166621085012847e-05,-3.75732132179285e-05,-3.751036182919609e-05,0.000628513887977078,6.285138879769933e-08,0.9999999999999999
99,2022-03-31,2022-03-31,2022-04-29,178,137,28,28,-0.040543593727298814,0.11537511785917925,1.1537511785917925e-05,-0.04055513123908473,-0.0405717321196184,-0.0405602019044907,0.1153021512772054,1.1530215127720549e-05,1.6600880533665374e-05,1.6608177191887452e-05,7.296658197385175e-05,7.296658197376748e-09,1.0
100,2022-04-29,2022-04-29,2022-05-31,178,137,28,28,0.043986565949576485,0.15045936471280755,1.5045936471280756e-05,0.043971520013105204,0.0436905819855711,0.0437056236779104,0.1504169233929004,1.5041692339290048e-05,0.0002809380275341014,0.00028094227166608476,4.244131990716049e-05,4.244131990707516e-09,1.0
