sample,entry_signal_date,current_new_positions,candidate_positive_positions,positive_fraction,observations,current_effective_n,candidate_effective_n,gross_entry_weight,minimum_variance,current_variance,candidate_variance,risk_ratio,current_alpha_daily,candidate_alpha_daily,alpha_uplift_daily
PRE2025_OOF,2019-01-17,7,6,0.8571428571428571,120,4.830079596900517,3.720007410248399,0.155278748867492,1.7205953773272153e-06,1.870325953609031e-06,1.8703259536092085e-06,1.0000000000000948,3.11622084073815e-05,3.338521236514962e-05,2.223003957768123e-06
PRE2025_OOF,2019-01-23,5,5,1.0,120,2.20160143137529,1.9643792372605753,0.0872274779160413,9.482995675106886e-07,1.081600370094147e-06,1.0816003700942509e-06,1.000000000000096,1.8944921805008122e-05,1.946840131083349e-05,5.234795058253674e-07
PRE2025_OOF,2019-01-24,6,5,0.8333333333333334,120,4.633600054048579,2.5262971334861004,0.054097871094432606,4.055934340243703e-07,4.5908801240108466e-07,4.5908801240111394e-07,1.0000000000000637,8.554922108319805e-06,9.972912191535988e-06,1.4179900832161827e-06
PRE2025_OOF,2019-01-25,10,7,0.7,120,5.696629491790146,3.552963652326217,0.20975922426921467,3.935870623911621e-06,4.336459712298028e-06,4.336459712299132e-06,1.0000000000002545,4.611332239023719e-05,5.263696999133468e-05,6.523647601097488e-06
PRE2025_OOF,2019-01-28,11,5,0.45454545454545453,120,6.560038785857454,1.9055540401236253,0.14834005196316108,2.28037318519358e-06,2.8013688079459584e-06,2.8013688079469515e-06,1.0000000000003546,3.0548609183409005e-05,3.973910036555855e-05,9.190491182149544e-06
PRE2025_OOF,2019-01-29,6,4,0.6666666666666666,120,5.098395185365499,2.2717555055923215,0.0327819661015971,2.5654948640287274e-07,3.266554936324663e-07,3.266554936324685e-07,1.0000000000000067,3.176499383060472e-06,3.382132637141231e-06,2.05633254080759e-07
PRE2025_OOF,2019-01-30,5,5,1.0,120,4.79230683273684,3.20544199643847,0.05206763064145441,5.299585545294601e-07,5.650257910132756e-07,5.650257910132811e-07,1.0000000000000098,6.589624128675833e-06,6.981458489472645e-06,3.9183436079681186e-07
PRE2025_OOF,2019-01-31,7,3,0.42857142857142855,120,5.274277341999548,2.385822114227102,0.0663229997341952,8.841443098590199e-07,9.960845324703986e-07,9.96084532471101e-07,1.0000000000007052,1.2686183957320265e-05,1.556061897467682e-05,2.8744350173565537e-06
PRE2025_OOF,2019-02-08,6,4,0.6666666666666666,120,4.793687511225572,2.1329395691557544,0.042775577923656605,4.16442904745466e-07,4.60934963757978e-07,4.6093496375818744e-07,1.0000000000004543,5.58737429405352e-06,6.573166388890652e-06,9.857920948371323e-07
PRE2025_OOF,2019-02-11,7,5,0.7142857142857143,120,5.465514679188088,3.272524560805746,0.0633274676450719,7.392768012616882e-07,8.952439147840226e-07,8.952439147849074e-07,1.0000000000009883,8.06433662127875e-06,8.649509865838304e-06,5.85173244559554e-07
PRE2025_OOF,2019-02-12,6,6,1.0,120,2.0094317798912353,1.8911902176103736,0.09580926076309049,1.044945977742318e-06,1.150332010759811e-06,1.1503320107608737e-06,1.0000000000009237,1.8551889344472248e-05,1.8694805831347764e-05,1.4291648687551594e-07
PRE2025_OOF,2019-02-14,7,5,0.7142857142857143,120,5.7326703374798305,2.8413477986242532,0.0843389857918937,7.653643813122249e-07,1.1597840206940693e-06,1.1597840206944634e-06,1.0000000000003397,1.1816546658764178e-05,1.35605356339377e-05,1.7439889751735224e-06
PRE2025_OOF,2019-02-15,9,6,0.6666666666666666,120,5.239519527286554,4.4714238127095625,0.072931215120208,7.246389152880852e-07,9.457869943077389e-07,9.457869943080877e-07,1.0000000000003688,8.177656439077812e-06,9.531217045273729e-06,1.3535606061959175e-06
