metric,sample,scope,quintile,lifecycles,signal_dates,mean_exante_metric,mean_target_weight,mean_holding_sessions,exposure_nav_days,net_pnl_nav_units,net_active_pnl_nav_units,daily_net_on_exposure,daily_net_active_on_exposure,positive_pnl_rate,positive_active_rate
EXPECTED_ALPHA,PRE2025_OOF,SPARSE_ENTRY_DATE,4,282,282,0.0033310766646482783,0.011061210921471047,23.68794326241135,402.18305698718916,0.2307829580425743,-0.12849176139068982,0.0005738256598162102,-0.00031948576440101676,0.549645390070922,0.46099290780141844
EXPECTED_ALPHA,PRE2025_OOF,SPARSE_ENTRY_DATE,5,1023,1023,0.004055328102625728,0.014174077427338895,19.618768328445746,1311.180472578632,0.7783081467945807,-0.4061109219891123,0.0005935934549604157,-0.00030972923291820736,0.5767350928641252,0.5219941348973607
EXPECTED_CONTRIBUTION,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,1,34,28,2.1396849240899564e-05,0.006821666442769951,11.676470588235293,6.835657613988274,-0.002005614760315872,-0.009563154904561895,-0.00029340480076293544,-0.0013990102261693385,0.4117647058823529,0.38235294117647056
EXPECTED_CONTRIBUTION,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,2,36,28,4.5856459725738126e-05,0.00974202505155503,26.52777777777778,24.910149311754314,0.01768554183512591,0.002067063352869709,0.0007099733371241038,8.298076928404148e-05,0.6944444444444444,0.6388888888888888
EXPECTED_CONTRIBUTION,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,3,38,28,9.718088232552937e-05,0.013787075901161483,23.342105263157894,40.80074787929941,0.006796612375470942,-0.034111106686666386,0.00016658058316914478,-0.0008360412114889917,0.5526315789473685,0.5526315789473685
EXPECTED_CONTRIBUTION,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,4,36,28,0.00017289167308093349,0.018226027316159913,48.25,54.57075321516464,0.04795636818241124,-0.05689626597943437,0.0008787924915261141,-0.001042614635629099,0.5555555555555556,0.4166666666666667
EXPECTED_CONTRIBUTION,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,5,43,28,0.0003188169643286751,0.02448421294918721,45.93023255813954,53.49243839385923,0.07861424965185775,0.024297729826493416,0.0014696329427540625,0.00045422737411205245,0.5348837209302325,0.5348837209302325
EXPECTED_CONTRIBUTION,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,2,119,119,1.6454325457734024e-05,0.006316309763236655,11.168067226890756,37.40331236595658,0.06383629278200266,-0.0149540186220434,0.001706701592560145,-0.00039980466103462317,0.5798319327731093,0.5378151260504201
EXPECTED_CONTRIBUTION,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,3,156,156,2.763866602031996e-05,0.007883117329478207,12.942307692307692,65.44230162457859,0.067301019324099,-0.1540220939602024,0.0010284023888735344,-0.0023535555769993778,0.5,0.4358974358974359
EXPECTED_CONTRIBUTION,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,4,119,119,4.448678790210022e-05,0.010080487987933795,11.277310924369749,30.701780997193648,0.09828403526678614,0.019896799451697894,0.003201248659671241,0.0006480666204190759,0.6638655462184874,0.5546218487394958
EXPECTED_CONTRIBUTION,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,5,338,338,9.194203899231463e-05,0.013754065414093287,16.644970414201183,160.5695177180317,0.1746617354741794,-0.31291799090476574,0.0010877639663892766,-0.0019488007148048222,0.5828402366863905,0.5236686390532544
EXPECTED_CONTRIBUTION,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,1,156,123,1.3622825106376062e-05,0.004668705317664592,22.03846153846154,153.12511074910702,0.26027728549506685,0.11630744745927417,0.0016997687983489977,0.0007595582911926314,0.5897435897435898,0.5192307692307693
EXPECTED_CONTRIBUTION,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,2,170,123,2.8460978300984688e-05,0.007932975549092504,22.55294117647059,190.561704298833,0.37709327408202875,0.12131229927291079,0.001978851288455537,0.0006366037694681433,0.5647058823529412,0.4588235294117647
EXPECTED_CONTRIBUTION,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,3,177,123,5.286574270991392e-05,0.012251347594925093,32.644067796610166,317.73142273552025,0.17304954367858716,-0.20906706050071033,0.0005446409492291031,-0.0006579993212529622,0.6101694915254238,0.4858757062146893
EXPECTED_CONTRIBUTION,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,4,170,123,9.558950704847495e-05,0.016926638444371606,41.28823529411765,483.19676509824944,0.4519690960000515,0.010547290207271168,0.0009353727687066606,2.182814739069407e-05,0.5705882352941176,0.5058823529411764
EXPECTED_CONTRIBUTION,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,5,224,123,0.00022893951198376886,0.03407116446782954,44.183035714285715,776.0376075018432,1.4860171024707094,0.6575555013107826,0.001914877691629371,0.0008473242726309765,0.6071428571428571,0.45982142857142855
EXPECTED_CONTRIBUTION,PRE2025_OOF,SPARSE_ENTRY_DATE,2,282,282,1.3203442155879768e-05,0.004857382835447647,13.099290780141844,127.48940429348093,0.12093094545983285,-0.0383596663530605,0.0009485568320756249,-0.00030088513289117303,0.5106382978723404,0.4929078014184397
