date,segment,v13_ideal_nav,byma_model_nav,personal_portfolio_nav,v13_ideal_index_100,byma_model_index_100,v13_ideal_value_usd,byma_model_value_usd
2023-09-22,PRE2025,3.4969241382,3.0978512118,,349.6924138211,309.7851211784,3496.9241382108,3097.8512117842
2023-09-25,PRE2025,3.5032089895,3.0938367210,,350.3208989475,309.3836720980,3503.2089894755,3093.8367209801
2023-09-26,PRE2025,3.4449321680,3.0471524840,,344.4932168005,304.7152483989,3444.9321680054,3047.1524839889
2023-09-27,PRE2025,3.4635941519,3.0656688655,,346.3594151932,306.5668865545,3463.5941519320,3065.6688655450
2023-09-28,PRE2025,3.5114134661,3.0942134439,,351.1413466144,309.4213443868,3511.4134661435,3094.2134438677
2023-09-29,PRE2025,3.5024612057,3.0810284182,,350.2461205725,308.1028418218,3502.4612057249,3081.0284182182
2023-10-02,PRE2025,3.4899005086,3.0597646551,,348.9900508593,305.9764655077,3489.9005085925,3059.7646550768
2023-10-03,PRE2025,3.4230186778,3.0156900808,,342.3018677814,301.5690080836,3423.0186778145,3015.6900808365
2023-10-04,PRE2025,3.4485805872,3.0274389547,,344.8580587185,302.7438954711,3448.5805871847,3027.4389547113
2023-10-05,PRE2025,3.4347438765,3.0143705995,,343.4743876511,301.4370599517,3434.7438765114,3014.3705995173
2023-10-06,PRE2025,3.4863098792,3.0540620934,,348.6309879235,305.4062093434,3486.3098792349,3054.0620934344
